expression,reading,meaning,tags,guid
ああ,ああ,"Ah!, Oh!",JLPT_N4 JLPT_N5,HI-.Ij?HS~
会う,あう,"to meet, to see",JLPT_N3 JLPT_N5,kupB!kWE}<
青,あお,blue,JLPT JLPT_N5,I{+$j.i
青い,あおい,blue,Genki_Ln.9 JLPT_N5,q(A)lc.Kr8
赤,あか,red,JLPT JLPT_N5,y!Fn9IOz@J
赤い,あかい,red,Genki_Ln.9 Intermediate_Japanese_Ln.12 JLPT_N5,D7x
明るい,あかるい,"bright (in reference to personality or weather); cheerful",Genki_Ln.18 Intermediate_Japanese,aK
秋,あき,"fall (season)",Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT_N3,JLP
開く,あく,"to open, to become open",JLPT_N3 JLPT_N5,m4![DH*c~
開ける,あける,"to open (v.t.)",Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT_N3 JLPT_N5,N5
上げる,あげる,"to raise, to lift",JLPT_N3 JLPT_N5,Hp0]9?Ae.w
朝,あさ,morning,Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT_N5,g|
朝御飯,あさごはん,breakfast,Genki_Ln.3 JLPT_N5,wWUR=G6*(U
明後日,あさって,day after tomorrow,JLPT_N5,mF[0Aq7|V7
足,あし,"foot; leg",JLPT_N5,m.INsC.wC2
明日,あした,tomorrow,Genki_Ln.3 JLPT_N5,xYz123
遊ぶ,あそぶ,to play,Genki_Ln.6 JLPT_N5,abc456
暖かい,あたたかい,warm,Genki_Ln.10 JLPT_N4,def789
頭,あたま,head,Genki_Ln.7 JLPT_N5,ghi012
新しい,あたらしい,new,Genki_Ln.5 JLPT_N5,jkl345

